ZONE T="016 TC1, Grid R.1.TC1.01 A Level"
35.0 17156245 0.1436292E+01 0.5977668E+00 0.9442118E-01 -999 -999 -999 0.1438093E+01 -0.1800609E-02 0.5932251E+00 0.4541719E-02

ZONE T="016 TC1, Grid R.1.TC1.01 D Level"
10.0 38396609 0.1234214E+01 0.1525918E+00 -0.1093600E+00 -999 -999 -999 0.1234178E+01 0.3528576E-04 0.1437255E+00 0.8866249E-02
15.0 38396609 0.1380432E+01 0.2259521E+00 -0.4012179E-01 -999 -999 -999 0.1380495E+01 -0.6316737E-04 0.2177421E+00 0.8209917E-02
20.0 38396609 0.1637772E+01 0.3000854E+00 -0.1462134E-01 -999 -999 -999 0.1637955E+01 -0.1829355E-03 0.2918465E+00 0.8238966E-02
25.0 38396609 0.1874013E+01 0.3763457E+00 0.1260358E-01 -999 -999 -999 0.1874390E+01 -0.3773113E-03 0.3681590E+00 0.8186790E-02
30.0 38396609 0.2045867E+01 0.4577228E+00 0.4864594E-01 -999 -999 -999 0.2046129E+01 -0.2624025E-03 0.4504525E+00 0.7270301E-02
35.0 38396609 0.1259176E+01 0.5853184E+00 -0.5901659E-02 -999 -999 -999 0.1260732E+01 -0.1556944E-02 0.5817243E+00 0.3594046E-02

ZONE T="016 TC1, Grid R.1.TC1.01 E Level"
10.0 121556748 0.1225838E+01 0.1507001E+00 -0.1074814E+00 -999 -999 -999 0.1225771E+01 0.6716218E-04 0.1417903E+00 0.8909849E-02
15.0 121556748 0.1383508E+01 0.2261676E+00 -0.4213888E-01 -999 -999 -999 0.1383573E+01 -0.6539773E-04 0.2178540E+00 0.8313594E-02
20.0 121556748 0.1635069E+01 0.3002916E+00 -0.1384252E-01 -999 -999 -999 0.1635230E+01 -0.1605712E-03 0.2920336E+00 0.8258042E-02
25.0 121556748 0.1848984E+01 0.3709071E+00 0.1806165E-01 -999 -999 -999 0.1849386E+01 -0.4019851E-03 0.3626185E+00 0.8288518E-02
30.0 121556748 0.2035901E+01 0.4541241E+00 0.4374077E-01 -999 -999 -999 0.2036205E+01 -0.3037429E-03 0.4466462E+00 0.7477913E-02
35.0 121556748 0.1447395E+01 0.6039852E+00 0.9369946E-01 -999 -999 -999 0.1448946E+01 -0.1550980E-02 0.5995425E+00 0.4442709E-02

ZONE T="016 TC1, Grid R.1.TC1.01 F Level"
10.0 279592033 0.1220105E+01 0.1506628E+00 -0.1051784E+00 -999 -999 -999 0.1220017E+01 0.8819424E-04 0.1418100E+00 0.8852842E-02
15.0 279592033 0.1369623E+01 0.2248762E+00 -0.3231875E-01 -999 -999 -999 0.1369683E+01 -0.6008747E-04 0.2165494E+00 0.8326857E-02
20.0 279592033 0.1622585E+01 0.2987303E+00 -0.6391469E-02 -999 -999 -999 0.1622732E+01 -0.1472488E-03 0.2904972E+00 0.8233150E-02
25.0 279592033 0.1849220E+01 0.3706658E+00 0.1989189E-01 -999 -999 -999 0.1849600E+01 -0.3800067E-03 0.3623734E+00 0.8292390E-02
30.0 279592033 0.2031764E+01 0.4541553E+00 0.4079323E-01 -999 -999 -999 0.2032086E+01 -0.3218954E-03 0.4465881E+00 0.7567249E-02
35.0 279592033 0.1469037E+01 0.6079083E+00 0.9183933E-01 -999 -999 -999 0.1470528E+01 -0.1491137E-02 0.6034383E+00 0.4469910E-02
