     23   -999    0.9690923354  0.5202089914 -0.2804975378    2.190440e-05  6.574016e-05  6.347936e-05  7.118527e-05  5.128084e-05  1.550068e-07 
     24   -999    0.9332118896  0.4911926484 -0.2610213743    3.173251e-05  9.983642e-05  9.588355e-05  1.070997e-04  7.448302e-05  2.429121e-07 
     25   -999    0.8868908744  0.4502158132 -0.2338896490    4.440310e-05  1.483490e-04  1.421043e-04  1.577247e-04  1.042704e-04  3.674847e-07 
     26   -999    0.8256581410  0.3920667867 -0.1959973308    5.763567e-05  2.123124e-04  2.035322e-04  2.231732e-04  1.356257e-04  5.675664e-07 
     27   -999    0.7507844244  0.3132873035 -0.1460592791    6.626063e-05  2.790327e-04  2.691525e-04  2.879331e-04  1.574322e-04  1.105998e-06 
     28   -999    0.6846544798  0.2205686162 -0.0899956860    6.448478e-05  3.287511e-04  3.219875e-04  3.295746e-04  1.579134e-04  3.398511e-06 
     29   -999    0.6903651858  0.1426915367 -0.0481354823    4.625895e-05  3.435377e-04  3.349655e-04  4.004068e-04  1.147122e-04  1.364856e-05 
     30   -999    0.7883322433  0.1188445410 -0.0419899897    6.557472e-05  3.205618e-04  3.573762e-04  5.281985e-04  1.591956e-04  4.256383e-05 
     31   -999    0.7883322433  0.1188445410 -0.0419899897    6.557472e-05  3.205618e-04  3.573762e-04  5.281985e-04  1.591956e-04  4.256383e-05 
     32   -999    0.8065894186  0.1172746884 -0.0454169473    3.652344e-05  3.181303e-04  3.125073e-04  4.946790e-04  8.636110e-05  5.259195e-05 
     33   -999    0.8208620896  0.1182054918 -0.0492372390    3.063248e-05  2.833524e-04  2.470262e-04  4.194282e-04  7.268339e-05  6.098874e-05 
     34   -999    0.8359900601  0.1181448128 -0.0515161862    2.255882e-05  2.242026e-04  1.723836e-04  3.142168e-04  5.321823e-05  6.658496e-05 
     35   -999    0.8491597579  0.1190414851 -0.0541515002    1.518813e-05  1.616324e-04  1.084225e-04  2.066622e-04  3.467242e-05  7.029952e-05 
     36   -999    0.8545303764  0.1211078439 -0.0560324885    1.469296e-05  1.601508e-04  9.980026e-05  1.879324e-04  3.287862e-05  8.854343e-05 
     37   -999    0.8422162493  0.1228957790 -0.0544059550    1.445546e-05  1.585401e-04  8.926859e-05  1.659621e-04  3.137953e-05  1.450755e-04 
     38   -999    0.8007173893  0.1212560803 -0.0403534785    1.407560e-05  1.507229e-04  7.317244e-05  1.387546e-04  2.975620e-05  4.026574e-04 
     39   -999    0.7621144212  0.1153357724 -0.0199858803    1.343727e-05  1.335113e-04  6.146419e-05  1.126020e-04  2.856751e-05  2.269444e-03 
     40   -999    0.7625586672  0.1152065200 -0.0191698976    1.313554e-05  1.309823e-04  6.062091e-05  1.100273e-04  2.955695e-05  2.854987e-03 
     41   -999    0.7631747204  0.1150405809 -0.0184240651    1.191889e-05  1.192721e-04  5.514803e-05  9.958366e-05  2.648629e-05  3.258785e-03 
     42   -999    0.7631747204  0.1150405809 -0.0184240651    1.191889e-05  1.192721e-04  5.514803e-05  9.958366e-05  2.648629e-05  3.258785e-03 
     43   -999    0.7626734984  0.1148503945 -0.0178981621    1.133220e-05  1.166743e-04  5.344290e-05  9.572791e-05  2.414580e-05  3.398093e-03 
     44   -999    0.7619250403  0.1146133532 -0.0172707056    1.101195e-05  1.137297e-04  5.174555e-05  9.117475e-05  2.275830e-05  3.586444e-03 
     45   -999    0.7605039786  0.1144095689 -0.0166857522    1.077131e-05  1.101411e-04  5.001487e-05  8.605809e-05  2.209179e-05  3.811577e-03 
     46   -999    0.7584917645  0.1143174548 -0.0160395778    1.111261e-05  1.099345e-04  5.079881e-05  8.592166e-05  2.304266e-05  3.960485e-03 
     47   -999    0.7564018958  0.1141872685 -0.0150595564    1.101599e-05  1.095429e-04  5.157628e-05  8.578443e-05  2.280524e-05  4.169468e-03 
     48   -999    0.7550924979  0.1139222422 -0.0137691381    1.091491e-05  1.090428e-04  5.250313e-05  8.573347e-05  2.257508e-05  4.475058e-03 
     49   -999    0.7549131251  0.1135933440 -0.0123895282    1.085715e-05  1.084799e-04  5.379845e-05  8.598135e-05  2.248731e-05  4.942194e-03 
     50   -999    0.7564286553  0.1134032460 -0.0113461380    1.081974e-05  1.078957e-04  5.561224e-05  8.674424e-05  2.248596e-05  5.684836e-03 
     51   -999    0.7618633845  0.1135503827 -0.0113845521    9.312466e-06  9.428826e-05  4.901820e-05  7.408365e-05  1.927006e-05  7.374672e-03 
     52   -999    0.7750048565  0.1149408058 -0.0143982664    8.015590e-06  8.063345e-05  4.113881e-05  6.158808e-05  1.652540e-05  9.534350e-04 
     53   -999    0.7961611416  0.1173485906 -0.0203759130    6.724485e-06  6.669570e-05  3.115414e-05  4.775000e-05  1.369550e-05  1.264322e-03 
     54   -999    0.8205796827  0.1194822194 -0.0272935940    5.377328e-06  5.226691e-05  2.046283e-05  3.299555e-05  1.081498e-05  1.725847e-03 
     55   -999    0.8205796827  0.1194822194 -0.0272935940    5.377328e-06  5.226691e-05  2.046283e-05  3.299555e-05  1.081498e-05  1.725847e-03 
