#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#  HLPW6 Force/Moment Grid Convergence DATA SUBMITTAL FORM for Test Case 1
#  Author: Bombardier
#  Solver: DRAGON
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "018_TC1_R_01" 

VARIABLES = "N" "CL" "CD" "CM" "DT" "TSTART" "TAVG" "CLp" "CLv" "CDp" "CDv"

ZONE T="018 TC1 <greek>a<\greek> = 10<math>0<\math>, grid convergence"
    25435031    1.2105880    0.1554570   -0.1049480           -1         -999         -999         -999         -999    0.1468870    0.0085700
    43517347    1.2226810    0.1564730   -0.1088960           -1         -999         -999         -999         -999    0.1478780    0.0085950
   106410939    1.2347220    0.1570230   -0.1119350           -1         -999         -999         -999         -999    0.1484340    0.0085880
   237759230    1.2381490    0.1571190   -0.1124530           -1         -999         -999         -999         -999    0.1485320    0.0085880

ZONE T="018 TC1 <greek>a<\greek> = 15<math>0<\math>, grid convergence"
    25435031    1.4007150    0.2280700   -0.0496810           -1         -999         -999         -999         -999    0.2197430    0.0083270
    43517347    1.5199700    0.2155890   -0.0755750           -1         -999         -999         -999         -999    0.2066720    0.0089170
   106410939    1.5419590    0.2165330   -0.0801500           -1         -999         -999         -999         -999    0.2075490    0.0089840
   237759230    1.5483280    0.2170840   -0.0824190           -1         -999         -999         -999         -999    0.2080790    0.0090060

ZONE T="018 TC1 <greek>a<\greek> = 20<math>0<\math>, grid convergence"
    25435031    1.6542630    0.3022820   -0.0248970           -1         -999         -999         -999         -999    0.2939790    0.0083030
    43517347    1.6633620    0.3047080   -0.0265490           -1         -999         -999         -999         -999    0.2963610    0.0083470
   106410939    1.8399270    0.2915710   -0.0652260           -1         -999         -999         -999         -999    0.2823890    0.0091820
   237759230    1.8479530    0.2922460   -0.0673560           -1         -999         -999         -999         -999    0.2830420    0.0092040

ZONE T="018 TC1 <greek>a<\greek> = 25<math>0<\math>, grid convergence"
    25435031    1.8798260    0.3805680   -0.0028390           -1         -999         -999         -999         -999    0.3724140    0.0081540
    43517347    1.8907760    0.3842910   -0.0045930           -1         -999         -999         -999         -999    0.3760820    0.0082090
   106410939    2.1049380    0.3745130   -0.0523960           -1         -999         -999         -999         -999    0.3654020    0.0091110
   237759230    2.1158890    0.3756190   -0.0550850           -1         -999         -999         -999         -999    0.3664680    0.0091510

ZONE T="018 TC1 <greek>a<\greek> = 30<math>0<\math>, grid convergence"
    25435031    2.0560610    0.4629660    0.0163950           -1         -999         -999         -999         -999    0.4553300    0.0076360
    43517347    2.0676320    0.4658360    0.0168870           -1         -999         -999         -999         -999    0.4581420    0.0076940
   106410939    2.0731770    0.4680570    0.0170640           -1         -999         -999         -999         -999    0.4603470    0.0077100
   237759230    2.2914840    0.4505540   -0.0279310           -1         -999         -999         -999         -999    0.4420000    0.0085540

ZONE T="018 TC1 <greek>a<\greek> = 35<math>0<\math>, grid convergence"
    25435031    1.6632510    0.6041590    0.0952160           -1         -999         -999         -999         -999    0.5985610    0.0055990
    43517347    1.6665690    0.6056510    0.0946080           -1         -999         -999         -999         -999    0.6001730    0.0054780
   106410939    1.6688200    0.6035080    0.0941420           -1         -999         -999         -999         -999    0.5980710    0.0054380
   237759230    1.6694690    0.6024250    0.0922580           -1         -999         -999         -999         -999    0.5969340    0.0054910

